s1 - t1; 1:1
s2 - t2; 1:1
s3 - t3; 1:1
s4 - t4; 1:1
s5 - t5; 1:1
s6 - t6; 1:1
s7 - t7; 1:1
s8 - t8; 1:1
s9 - t9; 1:1
s10 - t10; 1:1
s11 - t11; 1:1
s12 - t12; 1:1
s13 - t13; 1:1
s14, s15 - t14; 2:1
s16 - t15; 1:1
s17 - t16; 1:1
s18 - t17; 1:1
s19 - t18; 1:1
s20 - t19; 1:1
s21 - t20; 1:1
s22 - t21; 1:1
s23 - t22; 1:1
s24 - t23; 1:1
s25 - t24; 1:1
s26 - t25, t26; 1:2
s27 - t27; 1:1
s28 - t28; 1:1
s29, s30, s31 - t29; 3:1
s32, s33 - t30; 2:1
s34, s35 - t31; 2:1
s36 - t32, t33; 1:2
s37, s38 - t34; 2:1
s39 - t35; 1:1
s40 - t36; 1:1
s41 - t37; 1:1
s42 - t38; 1:1
s43, s44 - t39; 2:1
s45 - t40; 1:1
s46 - t41, 42; 1:2
s47, s48 - t43; 2:1
s49 - t44; 1:1
s50 - t45, t46; 1:2
s51, s52 - t47, t48; 2:2
s53 - t49; 1:1
s54 - t50, t51; 1:2
s55, s56 - t52; 2:1
s57 - t53; 1:1
s58 - t54; 1:1
s59 - t55; 1:1
s60 - t56, t57; 1:2
s61 - t58; 1:1
s62 - t59; 1:1
s63 - t60; 1:1
s64 - t61; 1:1
s65 - t62; 1:1
s66 - t63, t64; 1:2
s67 - t65, t66; 1:2
s68 - t67, t68; 1:2
s69 - t69; 1:1
s70 - t70; 1:1
s71 - t71; 1:1
s72 - t72; 1:1
s73 - t73; 1:1
s74 - t74; 1:1
s75 - t75, t76; 1:2
s76 - t77, t78; 1:2
s77 - t79, t80; 1:2
s78 - t81, t82; 1:2
s79 - t83; 1:1
s80 - t84; 1:1
s81 - t85, t86; 1:2
s82 - t87; 1:1
s83 - t88, t89; 1:2
s84 - t90; 1:1
s85, s86 - t91; 2:1
s87, s88 - t92; 2:1
s89 - t93; 1:1
s90, s91 - t94, t95; 2:2
s92 - t96, t97; 1:2
s93 - t98, t99; 1:2
s94 - t100, t101; 1:2
s95 - t102; 1:1
s96 - t103; 1:1
s97 - t104; 1:1
s98 - t105, t106; 1:2
s99 - t107; 1:1
s100 - t108, t109; 1:2
s101 - t110; 1:1
s102, s103 - t111; 2:1
s104 - t112; 1:1
s105, s106 - t113; 2:1
s107 - t114; 1:1
s108 - t115; 1:1
s109 - t116; 1:1
s110 - t117; 1:1
s111 - t118, t119; 1:2
